event-id,visible,timestamp,location-long,location-lat,comments,gps:hdop,gps:satellite-count,ground-speed,heading,height-above-ellipsoid,sequence-number,sigfox:computed-location-radius,sigfox:computed-location-source,sigfox:computed-location-status,sigfox:country,sigfox:device-type,sigfox:duplicates,sigfox:link-quality,sigfox:lqi,sigfox:operator,sigfox:rssi,tag-voltage,transmission-protocol,transmission-timestamp,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16503279119,true,2020-10-07 15:44:00.000,16.79706667,48.1414,"0367",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16503279121,true,2020-10-07 15:57:00.000,16.7971,48.14145,"0368",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16503279131,true,2020-10-08 11:20:00.000,16.91253333,48.15791667,"036D",,0,0.0,0.0,0.0,,,,,,,,,,,,5.0,,,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16504255960,true,2020-10-08 14:27:00.000,16.9128,48.15786666666666,"50036e",,,,,,877,,,,,,,,,,,3.7,,2020-10-08 14:27:41.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16505589934,true,2020-10-08 17:34:00.000,16.912766666666666,48.15813333333333,"50036f",,,,,,878,,,,,,,,,,,3.7,,2020-10-08 17:34:53.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16506338120,true,2020-10-08 20:41:00.000,16.9166,48.15955,"500370",,,,,,879,,,,,,,,,,,3.7,,2020-10-08 20:41:12.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16507684798,true,2020-10-09 02:59:00.000,16.9177,48.156983333333336,"500371",,,,,,881,,,,,,,,,,,3.7,,2020-10-09 02:59:06.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16508507440,true,2020-10-09 06:06:00.000,16.912666666666667,48.15773333333333,"500372",,,,,,882,,,,,,,,,,,3.7,,2020-10-09 06:06:35.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16509577617,true,2020-10-09 09:13:00.000,16.912966666666666,48.15788333333333,"400373",,,,,,883,,,,,,,,,,,3.6,,2020-10-09 09:14:01.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16512146113,true,2020-10-09 12:21:00.000,16.912433333333333,48.15801666666667,"500374",,,,,,884,,,,,,,,,,,3.7,,2020-10-09 12:21:25.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16515611620,true,2020-10-09 21:53:00.000,16.905866666666668,48.15685,"000375",,,,,,887,,,,,,,,,,,3.2,,2020-10-09 21:53:18.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16519839697,true,2020-10-10 12:28:00.000,16.912533333333332,48.15785,"000376",,,,,,888,,,,,,,,,,,3.2,,2020-10-10 12:28:25.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16520902684,true,2020-10-10 15:35:00.000,16.913933333333333,48.16053333333333,"000377",,,,,,889,,,,,,,,,,,3.2,,2020-10-10 15:35:38.000,"gps","Sus scrofa","C30FFD","C30FFD","boar_study_austria"
16503279116,true,2020-10-07 14:25:00.000,16.79716667,48.14136667,"03FE",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279117,true,2020-10-07 14:54:00.000,16.7971,48.14145,"03FF",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279118,true,2020-10-07 15:16:00.000,16.79713333,48.14145,"0400",,0,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279120,true,2020-10-07 15:50:00.000,16.79696667,48.14153333,"0401",,0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279123,true,2020-10-07 16:03:00.000,16.79706667,48.14138333,"0402",,0,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279124,true,2020-10-08 01:47:00.000,16.92096667,48.15441667,"0403",,0,0.0,0.0,0.0,,,,,,,,,,,,5.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279127,true,2020-10-08 04:55:00.000,16.9228,48.15333333,"0404",,0,0.0,0.0,0.0,,,,,,,,,,,,5.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16503279130,true,2020-10-08 07:59:00.000,16.9217,48.15343333,"0405",,0,0.0,0.0,0.0,,,,,,,,,,,,5.0,,,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16504133678,true,2020-10-08 14:13:00.000,16.9217,48.153666666666666,"500407",,,,,,1028,,,,,,,,,,,3.7,,2020-10-08 14:13:59.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16506338119,true,2020-10-08 20:29:00.000,16.906533333333332,48.1566,"400408",,,,,,1030,,,,,,,,,,,3.6,,2020-10-08 20:29:56.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16507110849,true,2020-10-08 23:35:00.000,16.9114,48.1577,"300409",,,,,,1031,,,,,,,,,,,3.5,,2020-10-08 23:35:32.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16509577614,true,2020-10-09 09:07:00.000,16.9211,48.15488333333333,"20040a",,,,,,1032,,,,,,,,,,,3.4,,2020-10-09 09:07:04.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16512146109,true,2020-10-09 12:13:00.000,16.921466666666667,48.1553,"20040b",,,,,,1033,,,,,,,,,,,3.4,,2020-10-09 12:13:38.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
16513815125,true,2020-10-09 15:20:00.000,16.921,48.15585,"00040c",,,,,,1034,,,,,,,,,,,3.2,,2020-10-09 15:20:10.000,"gps","Sus scrofa","C2FC0C","C2FC0C","boar_study_austria"
